,Dimension_Name,Dimension_Category,Tab,Measure,Year,Value
42,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,13355
43,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,12793
44,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,11931
45,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,12315
46,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,12664
47,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,12160
48,Nova Scotia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,10391
49,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,17910
50,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,16702
51,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,16836
52,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,15120
53,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,13879
54,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,12572
55,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,13485
56,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,14856
57,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,14368
58,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,14416
59,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,13689
60,New Brunswick,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,13242
61,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,67506
62,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,64607
63,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,64421
64,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,63218
65,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,62089
66,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,61009
67,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,63851
68,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,62659
69,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,64400
70,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,65183
71,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,66242
72,Quebec,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,58408
73,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,120839
74,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,129961
75,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,127304
76,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,125090
77,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,120949
78,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,118667
79,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,118320
80,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,117005
81,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,113712
82,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,117359
83,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,117923
84,Ontario,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,105599
85,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,15773
86,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,15157
87,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,15415
88,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,16316
89,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,16600
90,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,16752
91,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,16731
92,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,16989
93,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,17463
94,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,17822
95,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,17587
96,Manitoba,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,16893
97,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,66532
98,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,65550
99,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,65964
100,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,68991
101,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,70771
102,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,73086
103,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,74961
104,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,71120
105,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,74842
106,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,75590
107,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,72191
108,Saskatchewan,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,60509
109,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,233304
110,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,242662
111,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,252797
112,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,259880
113,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,267488
114,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,272232
115,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,271540
116,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,253699
117,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,261735
118,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,264185
119,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,264872
120,Alberta,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,242358
121,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,62527
122,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,65768
123,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,64649
124,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,65754
125,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,66153
126,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,67026
127,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,67725
128,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,67183
129,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,66777
130,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,68499
131,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,66895
132,British Columbia,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,60840
133,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,445
134,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,509
135,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,550
136,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,560
137,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,484
138,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,360
139,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,390
140,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,392
141,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,412
142,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,470
143,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,499
144,Yukon,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,403
145,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,1698
146,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,1765
147,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,1864
148,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,1894
149,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,1866
150,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,1894
151,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,1901
152,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,1806
153,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,2032
154,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,1988
155,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,2156
156,Northwest Territories,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,1700
157,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2009,412
158,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2010,437
159,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2011,428
160,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2012,488
161,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2013,614
162,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2014,605
163,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2015,559
164,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2016,622
165,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2017,651
166,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2018,716
167,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2019,904
168,Nunavut,Geography,GHG Emissions,"Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography",2020,768
169,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2009,8332415
170,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2010,8540678
171,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2011,8770396
172,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2012,8773677
173,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2013,8813101
174,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2014,8944176
175,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2015,9019823
176,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2016,8733835
177,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2017,8957774
178,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2018,9212617
179,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2019,9180402
180,National (All industries),Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2020,8443192
181,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2009,
182,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2010,
183,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2011,
184,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2012,
185,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2013,
186,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2014,
187,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2015,
188,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2016,
189,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2017,
190,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2018,
191,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2019,
192,Newfoundland and Labrador,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2020,
193,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2009,
194,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2010,
195,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2011,
196,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2012,
197,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2013,
198,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2014,
199,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2015,
200,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2016,
201,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2017,
202,Prince Edward Island,Geography,Energy Consumption,"Energy consumption (Terajoules), by geography",2018,
